N,random,reverse,almost
500,32,20,26
1000,73,45,35
1500,121,77,58
2000,181,94,82
2500,224,133,107
3000,276,166,126
3500,329,205,140
4000,390,220,184
4500,464,255,216
5000,508,280,228
5500,566,313,250
6000,619,358,273
6500,693,396,299
7000,731,416,347
7500,778,463,343
8000,843,478,401
8500,952,521,447
9000,981,550,475
9500,1040,586,494
10000,1130,596,497
10500,1142,641,588
11000,1221,673,615
11500,1270,773,580
12000,1340,791,623
12500,1385,785,604
13000,1433,853,667
13500,1508,903,713
14000,1582,942,730
14500,1657,981,773
15000,1715,1047,796
15500,1768,1056,823
16000,1896,1021,898
16500,1943,1044,1074
17000,1974,1124,986
17500,2537,1107,926
18000,2238,1176,983
18500,2177,1253,1045
19000,2316,1334,1049
19500,2380,1277,1081
20000,2411,1314,1146
20500,2331,1357,1219
21000,2533,1430,1247
21500,2642,1512,1123
22000,2621,1477,1352
22500,2732,1602,1263
23000,2760,1559,1241
23500,2888,1711,1377
24000,2858,1646,1328
24500,3050,1691,1368
25000,3072,1745,1414
25500,3146,1772,1434
26000,3101,1826,1442
26500,3265,1913,1527
27000,3310,1955,1632
27500,3413,2045,1602
28000,3364,2124,1599
28500,3531,2083,1628
29000,3598,2091,1646
29500,3623,2122,1667
30000,3689,2195,1729
30500,3663,2290,1700
31000,3900,2184,1709
31500,3960,2394,1927
32000,3875,2242,1955
32500,4181,2183,1949
33000,4196,2278,2086
33500,4298,2368,2076
34000,4395,2311,2173
34500,4461,2404,2217
35000,4470,2457,2262
35500,4599,2428,2186
36000,4646,2513,2243
36500,4743,2502,2255
37000,4742,2602,2236
37500,4658,2657,2256
38000,4780,2715,2273
38500,4902,2828,2383
39000,5021,2889,2542
39500,4842,2736,2449
40000,5083,2799,2394
40500,5190,2883,2610
41000,5229,2915,2343
41500,5350,3027,2661
42000,5302,2995,2747
42500,5342,3058,2612
43000,5625,3097,2592
43500,5550,3156,2777
44000,5651,3230,2618
44500,5781,3289,2790
45000,5835,3287,2722
45500,5953,3262,2761
46000,5931,3337,2829
46500,6010,3395,2712
47000,6073,3507,2789
47500,6233,3487,2901
48000,6191,3499,2900
48500,6301,3553,2857
49000,6383,3897,2790
49500,6348,3805,2835
50000,6454,3751,2864
50500,6554,3757,2915
51000,6599,3821,3054
51500,6764,3847,3060
52000,6902,3798,3224
52500,6771,3927,3310
53000,6984,4174,3300
53500,6702,4116,3326
54000,7022,4323,3372
54500,7109,4106,3182
55000,7103,4170,3327
55500,7223,4542,3443
56000,7373,4248,3478
56500,7231,4326,3462
57000,7462,4314,3508
57500,7535,4575,3531
58000,7644,4451,3534
58500,7725,4585,3432
59000,7512,4558,3539
59500,7834,4640,3645
60000,7925,4665,3692
60500,7944,4746,3640
61000,7771,4675,3531
61500,7979,4892,3507
62000,8138,4794,3750
62500,8045,4894,3963
63000,8336,4968,3749
63500,8532,4707,4144
64000,8474,4704,4213
64500,8592,4750,4001
65000,8717,4717,4199
65500,8691,4749,4200
66000,8831,4819,4346
66500,8977,4797,4629
67000,9091,5004,4229
67500,9046,4921,4497
68000,9201,4920,4306
68500,9271,4930,4330
69000,9334,5001,4422
69500,9446,5104,4434
70000,9238,5070,4384
70500,9496,4985,4529
71000,9493,5231,4695
71500,9649,5218,4688
72000,9833,5166,4757
72500,9998,5428,4660
73000,9624,5337,4651
73500,10038,5514,4624
74000,9924,5490,4771
74500,10015,5642,4816
75000,10181,5553,4885
75500,10045,5742,4833
76000,10205,5946,5175
76500,10285,5786,4968
77000,10516,5667,4799
77500,10460,5691,5113
78000,10403,5921,5067
78500,10516,6016,5009
79000,10609,5973,5131
79500,10778,6114,5186
80000,10663,6079,5061
80500,11025,6117,5109
81000,10908,5898,5359
81500,10942,6034,5231
82000,11157,6129,5365
82500,11104,6281,5247
83000,11315,6125,5548
83500,11396,6248,5472
84000,11651,6266,5283
84500,12547,6954,14911
85000,12856,6389,5679
85500,11717,6529,5412
86000,11745,6385,5409
86500,11749,6594,5392
87000,11751,6706,5467
87500,11867,6850,5565
88000,11842,6924,5923
88500,11999,6804,5782
89000,12212,6972,5755
89500,12268,6964,5825
90000,12309,7105,5850
90500,12464,6999,5743
91000,12427,7027,6010
91500,12433,7016,6022
92000,12512,7108,5841
92500,12595,7320,5875
93000,12669,7381,5845
93500,12894,7141,6057
94000,12817,7428,5987
94500,12911,7579,6005
95000,12949,7529,6144
95500,12964,7524,6508
96000,13475,7582,6222
96500,13252,7581,6129
97000,13394,7680,6373
97500,13462,7585,6343
98000,13264,7625,6233
98500,13409,7536,6249
99000,13634,7837,10469
99500,16202,7820,6511
100000,13747,8022,6375
