N,random,reverse,almost
500,47,27,29
1000,98,49,51
1500,141,77,80
2000,216,108,107
2500,247,138,140
3000,321,178,178
3500,392,244,231
4000,417,255,250
4500,523,288,300
5000,561,317,329
5500,641,358,362
6000,714,388,403
6500,772,428,441
7000,892,426,440
7500,875,479,486
8000,945,520,526
8500,1027,556,595
9000,1112,597,641
9500,1161,651,664
10000,1226,672,674
10500,1262,710,734
11000,1363,748,783
11500,1469,809,815
12000,1590,850,847
12500,1667,927,1020
13000,1689,941,989
13500,1747,949,1045
14000,1814,992,1033
14500,1872,1036,1077
15000,1954,1077,1165
15500,2074,1123,1156
16000,2207,1130,1081
16500,2127,1256,1308
17000,2430,1206,1257
17500,2316,1306,1319
18000,2395,1270,1286
18500,2408,1327,1338
19000,2571,1371,1379
19500,2689,1381,1456
20000,2738,1462,1438
20500,2847,1459,1451
21000,2834,1529,1596
21500,3026,1653,1613
22000,3115,1746,1653
22500,3064,1648,1613
23000,3076,1709,1738
23500,3164,1784,1635
24000,3249,1712,1773
24500,3307,1760,1665
25000,3268,1828,1867
25500,3472,1712,1808
26000,3614,1890,1972
26500,3828,2118,1904
27000,3666,1935,2085
27500,3593,2002,2132
28000,3870,2073,1995
28500,3802,2093,2193
29000,3860,2131,2150
29500,4049,2232,2103
30000,4140,2280,2314
30500,4526,2260,2364
31000,4378,2398,2228
31500,4281,2369,2391
32000,4532,2464,2467
32500,4536,2533,2413
33000,4613,2496,2578
33500,4742,2616,2609
34000,4713,2613,2616
34500,4960,2680,2624
35000,4997,2784,2506
35500,5003,2711,2674
36000,4890,2733,2769
36500,5028,2691,2823
37000,5299,2821,2824
37500,5219,2845,2835
38000,5356,2856,2853
38500,5259,2938,3189
39000,5294,2941,3020
39500,5443,2903,2986
40000,5611,3043,3129
40500,5642,3180,3087
41000,5840,3241,2978
41500,5777,3360,3028
42000,5960,3174,3217
42500,6027,3250,3341
43000,6157,3377,3188
43500,6133,3392,3373
44000,6644,3348,3326
44500,6230,3414,3400
45000,6425,3504,3340
45500,6697,3664,3408
46000,6458,3684,3426
46500,6648,3646,3448
47000,6704,3513,3520
47500,6752,3622,3629
48000,6934,3496,3758
48500,7013,3802,3855
49000,7288,3604,4006
49500,7079,3766,4265
50000,7303,3851,4193
50500,7405,3880,4122
51000,7220,4102,3822
51500,7455,3817,3933
52000,7488,3928,4022
52500,7336,4074,4120
53000,7482,4149,4297
53500,7592,4550,3989
54000,7986,12197,6633
54500,8040,4272,4613
55000,7845,4370,4488
55500,7786,4252,4376
56000,8027,4220,4346
56500,8187,4407,4407
57000,7921,4367,4741
57500,8211,4575,4570
58000,8413,4310,4557
58500,8716,4594,4703
59000,8400,4671,4461
59500,8659,4663,4687
60000,8382,4643,4822
60500,8570,4847,4591
61000,8863,4727,4765
61500,8554,4718,4732
62000,8950,4673,4858
62500,9537,4906,5060
63000,9299,5056,5014
63500,9407,5009,5101
64000,9440,4908,5048
64500,9140,5022,5218
65000,9185,5047,5262
65500,9326,5139,5234
66000,9446,5049,5481
66500,9644,5264,5550
67000,9481,5329,5279
67500,9827,5288,5400
68000,9977,5149,5424
68500,10100,5478,5325
69000,10133,5278,5543
69500,9958,5513,5322
70000,10230,5581,5657
70500,10130,5551,5648
71000,10801,5575,5682
71500,10298,5549,5660
72000,10434,5696,5732
72500,10374,5712,5900
73000,10648,5697,6002
73500,10731,5762,5856
74000,10609,5856,6113
74500,10969,5883,6055
75000,11204,5841,6175
75500,10843,6009,6140
76000,11148,6031,6469
76500,11741,6099,6113
77000,11389,6088,6225
77500,11350,5985,6163
78000,11327,6193,6232
78500,11658,6242,6553
79000,11905,6282,6598
79500,12264,6301,6586
80000,11884,6257,6399
80500,11456,6595,6593
81000,11716,6263,6629
81500,12215,6628,6561
82000,12065,6944,6541
82500,12315,6686,6420
83000,12314,6727,7101
83500,12132,6756,6470
84000,12406,6706,6671
84500,12667,6748,6762
85000,12576,6950,7234
85500,12917,6938,6767
86000,12882,6981,7526
86500,13015,6957,6953
87000,12769,7009,6794
87500,13072,7064,6889
88000,13286,7073,6967
88500,13214,7030,7223
89000,12842,7128,7335
89500,13097,7243,7351
90000,13182,7024,7488
90500,13737,7255,7453
91000,13617,7305,7350
91500,14173,7180,7359
92000,13847,7385,7347
92500,14014,7595,7545
93000,13619,7504,7549
93500,14122,7535,7632
94000,14031,7532,7607
94500,14004,7628,8491
95000,14041,7909,7698
95500,14352,8138,7831
96000,14836,7862,7914
96500,14671,7758,7923
97000,14649,7902,8008
97500,14012,7847,7772
98000,14522,7885,7934
98500,15104,8651,7950
99000,14977,7919,7935
99500,14582,8026,8199
100000,15214,8184,8164
